quarter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
2025Q1,5.22,2.65,4.44,9.03,7.01,1.95,0.47,7.71,1.25,0.16,0.78,1.25,2.18,0.78,0.62,13.4,3.97,0.16,5.14,8.26,0.62,0.31,6.07,2.8,0.93,1.01,3.97,2.57,0.86,4.21,0.23
2025Q2,14.98,1.5,3.88,11.01,2.38,5.2,1.06,1.67,2.73,0.44,1.67,2.29,4.85,0.7,1.76,2.38,5.81,1.15,6.7,3.44,0.88,0.88,6.78,3.26,1.06,0.62,1.15,2.82,1.23,4.32,1.41
2025Q3,10.98,4.75,2.64,6.33,4.48,3.73,1.05,3.47,2.99,2.99,2.28,1.14,4.04,1.27,1.01,6.24,5.32,0.26,6.24,4.35,0.97,1.58,4.57,3.73,1.54,0.83,2.42,2.72,1.23,3.65,1.19
2025Q4,15.33,1.94,2.38,8.32,1.73,4.54,1.62,2.7,2.16,0.76,2.48,2.92,4.21,1.51,1.19,2.27,4.75,3.67,7.56,1.94,1.62,2.05,5.4,4.64,3.02,0.43,0.32,3.46,0.43,4.0,0.65
2026Q1,5.01,8.58,2.74,5.9,1.25,4.59,2.5,2.32,1.49,1.79,2.86,2.8,3.58,1.79,1.37,2.5,3.69,3.34,6.73,3.52,3.04,0.72,4.23,4.23,0.83,1.07,7.39,6.91,0.42,2.26,0.54
2026Q2,7.5,6.38,5.61,5.96,0.47,4.49,4.6,1.3,3.07,1.06,3.19,1.95,4.43,1.95,2.24,1.83,4.37,1.42,8.32,3.19,2.6,1.3,3.9,4.37,0.71,1.18,3.84,4.9,0.71,2.77,0.41
2026Q3,6.46,4.7,5.52,5.05,0.94,4.7,6.7,2.82,2.7,1.53,2.7,1.18,2.7,1.41,1.18,3.06,5.76,0.82,8.23,3.29,1.53,0.94,4.0,4.35,0.47,1.18,5.17,5.88,0.47,4.0,0.59
